Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index
Greece,GRC,7.044,23343.7103964562,44.646,84.4,5.0,23.0,104.025230407715,171.113082885742,14.238,0.6759257766609629,1.0,0.5107151086873031,0.8893453683989565,0.37551020408163266,0.6473988439306358,0.9959677419354839,0.9569957839003824,0.8379628883304815,0.5790569763089695,0.9474362980782742,0.37551020408163266,0.6849915916998395
Uruguay,URY,26.188,23019.4221560046,56.518,81.92,15.0,26.2626262626263,125.241045093642,101.562689083766,9.46,0.8175350862667985,0.5881835396869747,0.6626981078935914,0.814975859897442,0.4287775716347151,0.7674792661472731,0.9858870967741935,0.8318593326143086,0.7028593129768865,0.7150886870204323,0.8775740964286481,0.4287775716347151,0.6810749170151704
Albania,ALB,12.789,9730.86921906893,57.963,81.446,7.0,35.7142857142857,92.6682931237011,77.0315270509882,10.957,0.6001215677802748,0.4429315035235674,0.6811967124971195,0.8007616877080396,0.5830903790087462,0.7298567479266147,0.9939516129032258,0.9194430826551623,0.5215265356519211,0.7055267302118671,0.9047187944221425,0.5830903790087462,0.6787156098236692
Italy,ITA,2.852,39277.0838783918,41.312,85.4,6.0,32.25,100.401916503906,89.5502166748047,8.763,0.6517412243352882,0.5170562088892333,0.4680338991730035,0.9193330734398897,0.5265306122448979,0.7849962302085951,0.9949596774193549,0.9843971631205674,0.5843987166122608,0.6265150646907993,0.9662299713266039,0.5265306122448979,0.6759185912186405
Israel,ISR,6.204,52003.7200729997,61.338,85.5,2.0,24.1666666666667,99.5341491699219,67.1937103271484,3.194,0.6459491331578754,0.3846805772677783,0.7244027959136646,0.9223318439439828,0.39455782312925225,0.9249560191002765,0.998991935483871,0.9624865182861064,0.5153148552128268,0.8246794075069706,0.9612700992379869,0.39455782312925225,0.6739555462717591
Serbia,SRB,13.669,12281.707946167,51.414,78.6,11.0,34.8,95.2010726928711,87.7373886108398,8.644,0.6170271248603826,0.5063222303213517,0.5973577079652814,0.7154166791615435,0.5681632653061224,0.7879869313897965,0.9899193548387096,0.9136908847272608,0.5616746775908672,0.692672319677539,0.8730089729091713,0.5681632653061224,0.673879808870925
China,CHN,5.227,12951.1782397043,60.216,80.926,16.0,26.5367819952973,94.6070022583008,80.7794373835271,4.059,0.6130618798136043,0.46512334288412227,0.710039173515631,0.7851680810867544,0.43325358359669064,0.9032168886654939,0.9848790322580645,0.968872765303788,0.5390926113488632,0.8066280310905625,0.912973292882869,0.43325358359669064,0.6729868797297464
Luxembourg,LUX,4.023,133230.619178899,57.196,85.0,11.0,33.3333333333333,108.685668945312,23.4462203979492,5.436,0.7070328302216876,0.1256462934142959,0.6713777299843817,0.9073379914235162,0.5442176870748294,0.8686102035687359,0.9899193548387096,0.9767428179233258,0.41633956181799175,0.7699939667765587,0.9580000547285171,0.5442176870748294,0.6721378175994743
"Korea, Rep.",KOR,0.537,35674.095995632,56.038,86.4,4.0,19.0635451505017,95.9690704345703,99.2188186645508,2.722,0.6221532834166696,0.5743051938328612,0.6565532426965716,0.949320778480823,0.31124155347757876,0.936818296054285,0.9969758064516129,0.9995293656240808,0.5982292386247654,0.7966857693754283,0.9819419835188389,0.31124155347757876,0.6720246362491529
Cyprus,CYP,6.981,36623.69140625,62.495,83.668,14.0,14.2857142857143,105.460327148438,127.65128326416,5.885,0.6855046244063748,0.742657323696054,0.7392144813989808,0.8673943683089934,0.23323615160349878,0.8573259612968083,0.9868951612903226,0.9574075889793117,0.7140809740512144,0.7982702213478945,0.9372323728595425,0.23323615160349878,0.6707049299655375
